year,date,count
2007,2007-01-01,8
2007,2007-01-02,18
2007,2007-01-03,20
2007,2007-01-04,29
2007,2007-01-05,27
2007,2007-01-06,28
2007,2007-01-07,11
2007,2007-01-08,29
2007,2007-01-09,31
2007,2007-01-10,25
2007,2007-01-11,22
2007,2007-01-12,20
2007,2007-01-13,16
2007,2007-01-14,3
2007,2007-01-15,25
2007,2007-01-16,13
2007,2007-01-17,26
2007,2007-01-18,29
2007,2007-01-19,16
2007,2007-01-20,18
2007,2007-01-21,13
2007,2007-01-22,22
2007,2007-01-23,14
2007,2007-01-24,16
2007,2007-01-25,5
2007,2007-01-26,10
2007,2007-01-27,4
2007,2007-01-28,2
2007,2007-01-29,9
2007,2007-01-30,13
2007,2007-01-31,14
2007,2007-02-01,18
2007,2007-02-02,17
2007,2007-02-03,10
2007,2007-02-04,6
2007,2007-02-05,17
2007,2007-02-06,19
2007,2007-02-07,19
2007,2007-02-08,15
2007,2007-02-09,14
2007,2007-02-10,6
2007,2007-02-11,1
2007,2007-02-12,12
2007,2007-02-13,12
2007,2007-02-14,15
2007,2007-02-15,16
2007,2007-02-16,13
2007,2007-02-17,19
2007,2007-02-18,4
2007,2007-02-19,8
2007,2007-02-20,18
2007,2007-02-21,13
2007,2007-02-22,12
2007,2007-02-23,10
2007,2007-02-24,5
2007,2007-02-25,3
2007,2007-02-26,15
2007,2007-02-27,12
2007,2007-02-28,14
2007,2007-03-01,18
2007,2007-03-02,21
2007,2007-03-03,17
2007,2007-03-04,8
2007,2007-03-05,14
2007,2007-03-06,19
2007,2007-03-07,19
2007,2007-03-08,27
2007,2007-03-09,27
2007,2007-03-10,18
2007,2007-03-11,9
2007,2007-03-12,32
2007,2007-03-13,45
2007,2007-03-14,32
2007,2007-03-15,26
2007,2007-03-16,22
2007,2007-03-17,19
2007,2007-03-18,7
2007,2007-03-19,22
2007,2007-03-20,8
2007,2007-03-21,16
2007,2007-03-22,23
2007,2007-03-23,24
2007,2007-03-24,18
2007,2007-03-25,19
2007,2007-03-26,26
2007,2007-03-27,42
2007,2007-03-28,28
2007,2007-03-29,28
2007,2007-03-30,26
2007,2007-03-31,40
2007,2007-04-01,22
2007,2007-04-02,32
2007,2007-04-03,28
2007,2007-04-04,39
2007,2007-04-05,37
2007,2007-04-06,26
2007,2007-04-07,26
2007,2007-04-08,5
2007,2007-04-09,12
2007,2007-04-10,18
2007,2007-04-11,28
2007,2007-04-12,37
2007,2007-04-13,39
2007,2007-04-14,44
2007,2007-04-15,32
2007,2007-04-16,51
2007,2007-04-17,37
2007,2007-04-18,28
2007,2007-04-19,25
2007,2007-04-20,31
2007,2007-04-21,35
2007,2007-04-22,18
2007,2007-04-23,47
2007,2007-04-24,33
2007,2007-04-25,41
2007,2007-04-26,57
2007,2007-04-27,50
2007,2007-04-28,40
2007,2007-04-29,19
2007,2007-04-30,43
2007,2007-05-01,14
2007,2007-05-02,39
2007,2007-05-03,34
2007,2007-05-04,50
2007,2007-05-05,31
2007,2007-05-06,23
2007,2007-05-07,40
2007,2007-05-08,37
2007,2007-05-09,29
2007,2007-05-10,24
2007,2007-05-11,44
2007,2007-05-12,42
2007,2007-05-13,38
2007,2007-05-14,53
2007,2007-05-15,36
2007,2007-05-16,31
2007,2007-05-17,39
2007,2007-05-18,34
2007,2007-05-19,50
2007,2007-05-20,36
2007,2007-05-21,58
2007,2007-05-22,64
2007,2007-05-23,57
2007,2007-05-24,63
2007,2007-05-25,68
2007,2007-05-26,72
2007,2007-05-27,34
2007,2007-05-28,68
2007,2007-05-29,53
2007,2007-05-30,41
2007,2007-05-31,30
2007,2007-06-01,56
2007,2007-06-02,36
2007,2007-06-03,15
2007,2007-06-04,29
2007,2007-06-05,36
2007,2007-06-06,70
2007,2007-06-07,31
2007,2007-06-08,76
2007,2007-06-09,45
2007,2007-06-10,41
2007,2007-06-11,55
2007,2007-06-12,55
2007,2007-06-13,54
2007,2007-06-14,54
2007,2007-06-15,69
2007,2007-06-16,50
2007,2007-06-17,36
2007,2007-06-18,46
2007,2007-06-19,52
2007,2007-06-20,52
2007,2007-06-21,47
2007,2007-06-22,50
2007,2007-06-23,44
2007,2007-06-24,36
2007,2007-06-25,75
2007,2007-06-26,35
2007,2007-06-27,50
2007,2007-06-28,37
2007,2007-06-29,43
2007,2007-06-30,38
2007,2007-07-01,33
2007,2007-07-02,47
2007,2007-07-03,44
2007,2007-07-04,40
2007,2007-07-05,36
2007,2007-07-06,39
2007,2007-07-07,47
2007,2007-07-08,36
2007,2007-07-09,54
2007,2007-07-10,44
2007,2007-07-11,45
2007,2007-07-12,49
2007,2007-07-13,40
2007,2007-07-14,54
2007,2007-07-15,47
2007,2007-07-16,76
2007,2007-07-17,56
2007,2007-07-18,53
2007,2007-07-19,60
2007,2007-07-20,54
2007,2007-07-21,38
2007,2007-07-22,22
2007,2007-07-23,56
2007,2007-07-24,42
2007,2007-07-25,35
2007,2007-07-26,51
2007,2007-07-27,49
2007,2007-07-28,47
2007,2007-07-29,25
2007,2007-07-30,26
2007,2007-07-31,31
2007,2007-08-01,48
2007,2007-08-02,67
2007,2007-08-03,60
2007,2007-08-04,48
2007,2007-08-05,40
2007,2007-08-06,48
2007,2007-08-07,67
2007,2007-08-08,52
2007,2007-08-09,63
2007,2007-08-10,54
2007,2007-08-11,42
2007,2007-08-12,22
2007,2007-08-13,47
2007,2007-08-14,55
2007,2007-08-15,39
2007,2007-08-16,52
2007,2007-08-17,47
2007,2007-08-18,48
2007,2007-08-19,28
2007,2007-08-20,38
2007,2007-08-21,54
2007,2007-08-22,44
2007,2007-08-23,52
2007,2007-08-24,61
2007,2007-08-25,57
2007,2007-08-26,31
2007,2007-08-27,57
2007,2007-08-28,58
2007,2007-08-29,57
2007,2007-08-30,56
2007,2007-08-31,50
2007,2007-09-01,24
2007,2007-09-02,29
2007,2007-09-03,21
2007,2007-09-04,27
2007,2007-09-05,29
2007,2007-09-06,39
2007,2007-09-07,33
2007,2007-09-08,42
2007,2007-09-09,12
2007,2007-09-10,30
2007,2007-09-11,37
2007,2007-09-12,32
2007,2007-09-13,29
2007,2007-09-14,48
2007,2007-09-15,28
2007,2007-09-16,21
2007,2007-09-17,54
2007,2007-09-18,48
2007,2007-09-19,31
2007,2007-09-20,47
2007,2007-09-21,43
2007,2007-09-22,38
2007,2007-09-23,28
2007,2007-09-24,66
2007,2007-09-25,58
2007,2007-09-26,34
2007,2007-09-27,40
2007,2007-09-28,37
2007,2007-09-29,40
2007,2007-09-30,27
2007,2007-10-01,45
2007,2007-10-02,36
2007,2007-10-03,32
2007,2007-10-04,45
2007,2007-10-05,32
2007,2007-10-06,32
2007,2007-10-07,17
2007,2007-10-08,28
2007,2007-10-09,30
2007,2007-10-10,48
2007,2007-10-11,22
2007,2007-10-12,34
2007,2007-10-13,22
2007,2007-10-14,24
2007,2007-10-15,43
2007,2007-10-16,37
2007,2007-10-17,33
