year,date,count
2007,2007-01-01,587
2007,2007-01-02,1008
2007,2007-01-03,1158
2007,2007-01-04,1235
2007,2007-01-05,1519
2007,2007-01-06,1089
2007,2007-01-07,889
2007,2007-01-08,1160
2007,2007-01-09,1194
2007,2007-01-10,1009
2007,2007-01-11,1352
2007,2007-01-12,1419
2007,2007-01-13,928
2007,2007-01-14,695
2007,2007-01-15,1014
2007,2007-01-16,965
2007,2007-01-17,924
2007,2007-01-18,1563
2007,2007-01-19,1592
2007,2007-01-20,1158
2007,2007-01-21,794
2007,2007-01-22,1033
2007,2007-01-23,1216
2007,2007-01-24,2130
2007,2007-01-25,1183
2007,2007-01-26,1306
2007,2007-01-27,1296
2007,2007-01-28,694
2007,2007-01-29,1166
2007,2007-01-30,1164
2007,2007-01-31,1005
2007,2007-02-01,1059
2007,2007-02-02,1195
2007,2007-02-03,878
2007,2007-02-04,702
2007,2007-02-05,1046
2007,2007-02-06,1010
2007,2007-02-07,1524
2007,2007-02-08,1583
2007,2007-02-09,1376
2007,2007-02-10,1132
2007,2007-02-11,598
2007,2007-02-12,1259
2007,2007-02-13,1158
2007,2007-02-14,1120
2007,2007-02-15,1225
2007,2007-02-16,1226
2007,2007-02-17,902
2007,2007-02-18,728
2007,2007-02-19,1108
2007,2007-02-20,889
2007,2007-02-21,781
2007,2007-02-22,1615
2007,2007-02-23,1109
2007,2007-02-24,701
2007,2007-02-25,523
2007,2007-02-26,1249
2007,2007-02-27,1171
2007,2007-02-28,1143
2007,2007-03-01,1219
2007,2007-03-02,1478
2007,2007-03-03,931
2007,2007-03-04,596
2007,2007-03-05,1142
2007,2007-03-06,974
2007,2007-03-07,1195
2007,2007-03-08,1180
2007,2007-03-09,1195
2007,2007-03-10,910
2007,2007-03-11,605
2007,2007-03-12,1140
2007,2007-03-13,1082
2007,2007-03-14,1034
2007,2007-03-15,903
2007,2007-03-16,1008
2007,2007-03-17,1355
2007,2007-03-18,810
2007,2007-03-19,1130
2007,2007-03-20,1113
2007,2007-03-21,1270
2007,2007-03-22,1091
2007,2007-03-23,1505
2007,2007-03-24,912
2007,2007-03-25,703
2007,2007-03-26,1175
2007,2007-03-27,1111
2007,2007-03-28,1007
2007,2007-03-29,952
2007,2007-03-30,1169
2007,2007-03-31,1037
2007,2007-04-01,753
2007,2007-04-02,1104
2007,2007-04-03,1103
2007,2007-04-04,1309
2007,2007-04-05,1238
2007,2007-04-06,1135
2007,2007-04-07,896
2007,2007-04-08,562
2007,2007-04-09,783
2007,2007-04-10,1535
2007,2007-04-11,1032
2007,2007-04-12,1044
2007,2007-04-13,1187
2007,2007-04-14,1048
2007,2007-04-15,741
2007,2007-04-16,1127
2007,2007-04-17,1206
2007,2007-04-18,1292
2007,2007-04-19,1032
2007,2007-04-20,1371
2007,2007-04-21,974
2007,2007-04-22,778
2007,2007-04-23,1108
2007,2007-04-24,1039
2007,2007-04-25,1153
2007,2007-04-26,1181
2007,2007-04-27,1369
2007,2007-04-28,1115
2007,2007-04-29,773
2007,2007-04-30,1223
2007,2007-05-01,565
2007,2007-05-02,1066
2007,2007-05-03,654
2007,2007-05-04,1123
2007,2007-05-05,906
2007,2007-05-06,973
2007,2007-05-07,1196
2007,2007-05-08,1459
2007,2007-05-09,1351
2007,2007-05-10,1366
2007,2007-05-11,1631
2007,2007-05-12,1170
2007,2007-05-13,788
2007,2007-05-14,1110
2007,2007-05-15,1254
2007,2007-05-16,1155
2007,2007-05-17,1312
2007,2007-05-18,1229
2007,2007-05-19,1116
2007,2007-05-20,777
2007,2007-05-21,1088
2007,2007-05-22,1056
2007,2007-05-23,1109
2007,2007-05-24,1084
2007,2007-05-25,1356
2007,2007-05-26,1161
2007,2007-05-27,843
2007,2007-05-28,1146
2007,2007-05-29,1202
2007,2007-05-30,1170
2007,2007-05-31,967
2007,2007-06-01,1222
2007,2007-06-02,1216
2007,2007-06-03,789
2007,2007-06-04,1065
2007,2007-06-05,962
2007,2007-06-06,1286
2007,2007-06-07,819
2007,2007-06-08,1166
2007,2007-06-09,966
2007,2007-06-10,893
2007,2007-06-11,1141
2007,2007-06-12,1066
2007,2007-06-13,1105
2007,2007-06-14,1077
2007,2007-06-15,1344
2007,2007-06-16,1107
2007,2007-06-17,797
2007,2007-06-18,1254
2007,2007-06-19,1171
2007,2007-06-20,1118
2007,2007-06-21,1266
2007,2007-06-22,1394
2007,2007-06-23,1215
2007,2007-06-24,749
2007,2007-06-25,1115
2007,2007-06-26,1367
2007,2007-06-27,1009
2007,2007-06-28,1158
2007,2007-06-29,1246
2007,2007-06-30,1086
2007,2007-07-01,822
2007,2007-07-02,1202
2007,2007-07-03,1228
2007,2007-07-04,1357
2007,2007-07-05,1291
2007,2007-07-06,1441
2007,2007-07-07,1232
2007,2007-07-08,747
2007,2007-07-09,1222
2007,2007-07-10,1187
2007,2007-07-11,1134
2007,2007-07-12,1193
2007,2007-07-13,1214
2007,2007-07-14,1103
2007,2007-07-15,928
2007,2007-07-16,1221
2007,2007-07-17,1034
2007,2007-07-18,1058
2007,2007-07-19,1093
2007,2007-07-20,1252
2007,2007-07-21,1021
2007,2007-07-22,965
2007,2007-07-23,1108
2007,2007-07-24,1005
2007,2007-07-25,1172
2007,2007-07-26,939
2007,2007-07-27,1167
2007,2007-07-28,1083
2007,2007-07-29,808
2007,2007-07-30,1383
2007,2007-07-31,985
2007,2007-08-01,1025
2007,2007-08-02,1052
2007,2007-08-03,1129
2007,2007-08-04,1092
2007,2007-08-05,845
2007,2007-08-06,1066
2007,2007-08-07,1265
2007,2007-08-08,965
2007,2007-08-09,1136
2007,2007-08-10,1415
2007,2007-08-11,1070
2007,2007-08-12,988
2007,2007-08-13,1069
2007,2007-08-14,1150
2007,2007-08-15,713
2007,2007-08-16,1156
2007,2007-08-17,1075
2007,2007-08-18,978
2007,2007-08-19,754
2007,2007-08-20,990
2007,2007-08-21,1059
2007,2007-08-22,1112
2007,2007-08-23,998
2007,2007-08-24,1319
2007,2007-08-25,997
2007,2007-08-26,803
2007,2007-08-27,985
2007,2007-08-28,1098
2007,2007-08-29,1060
2007,2007-08-30,1063
2007,2007-08-31,1308
2007,2007-09-01,1220
2007,2007-09-02,696
2007,2007-09-03,1387
2007,2007-09-04,1204
2007,2007-09-05,1509
2007,2007-09-06,1269
2007,2007-09-07,1441
2007,2007-09-08,1113
2007,2007-09-09,953
2007,2007-09-10,1386
2007,2007-09-11,1184
2007,2007-09-12,1077
2007,2007-09-13,1055
2007,2007-09-14,1336
2007,2007-09-15,1220
2007,2007-09-16,728
2007,2007-09-17,1190
2007,2007-09-18,1402
2007,2007-09-19,1134
2007,2007-09-20,1236
2007,2007-09-21,1514
2007,2007-09-22,1144
2007,2007-09-23,875
2007,2007-09-24,1187
2007,2007-09-25,1194
2007,2007-09-26,1034
2007,2007-09-27,1089
2007,2007-09-28,1599
2007,2007-09-29,1264
2007,2007-09-30,877
2007,2007-10-01,1153
2007,2007-10-02,1230
2007,2007-10-03,1085
2007,2007-10-04,1046
2007,2007-10-05,1468
2007,2007-10-06,1062
2007,2007-10-07,931
2007,2007-10-08,1051
2007,2007-10-09,1062
2007,2007-10-10,1087
2007,2007-10-11,1062
2007,2007-10-12,1878
2007,2007-10-13,1062
2007,2007-10-14,830
2007,2007-10-15,1313
2007,2007-10-16,1103
2007,2007-10-17,1098
2007,2007-10-18,1438
2007,2007-10-19,1659
2007,2007-10-20,1241
2007,2007-10-21,837
2007,2007-10-22,948
2007,2007-10-23,1200
2007,2007-10-24,1190
2007,2007-10-25,1063
2007,2007-10-26,1266
2007,2007-10-27,974
2007,2007-10-28,692
2007,2007-10-29,1080
2007,2007-10-30,1170
2007,2007-10-31,1637
2007,2007-11-01,837
2007,2007-11-02,1371
2007,2007-11-03,1064
2007,2007-11-04,873
2007,2007-11-05,947
2007,2007-11-06,1284
2007,2007-11-07,1586
2007,2007-11-08,1173
2007,2007-11-09,1509
2007,2007-11-10,1438
2007,2007-11-11,680
2007,2007-11-12,1321
2007,2007-11-13,1307
2007,2007-11-14,1223
2007,2007-11-15,1160
2007,2007-11-16,1257
2007,2007-11-17,863
2007,2007-11-18,597
2007,2007-11-19,1041
2007,2007-11-20,1113
2007,2007-11-21,1253
2007,2007-11-22,1291
2007,2007-11-23,1569
2007,2007-11-24,1041
2007,2007-11-25,712
2007,2007-11-26,1456
2007,2007-11-27,1239
2007,2007-11-28,1192
2007,2007-11-29,1052
2007,2007-11-30,1715
2007,2007-12-01,1067
2007,2007-12-02,769
2007,2007-12-03,1304
2007,2007-12-04,1123
